"","fiscal_year","encounter_count"
"1361",2020,16
"1362",2020,8
"1363",2020,1
"1364",2020,1
"1365",2020,1
"1366",2020,101
"1367",2020,10
"1368",2020,378
"1369",2020,2
"1370",2020,3
"1371",2020,2
"1372",2020,1
"1373",2020,2
"1374",2020,6
"1375",2020,1
"1376",2020,1
"1377",2020,23
"1378",2020,16
"1379",2020,1
"1380",2020,21
"1381",2020,87
"1382",2020,20
"1383",2020,6
"1384",2020,14
"1385",2020,8
"1386",2020,2
"1387",2020,1
"1388",2020,3
"1389",2020,3
"1390",2020,2
"1391",2020,3
"1392",2020,73
"1393",2020,18
"1394",2020,24
"1395",2020,115
"1396",2020,38
"1397",2020,10
"1398",2020,44
"1399",2020,47
"1400",2020,28
"1401",2020,87
"1402",2020,47
"1403",2020,78
"1404",2020,12
"1405",2020,24
"1406",2020,417
"1407",2020,32
"1408",2020,110
"1409",2020,2
"1410",2020,14
"1411",2020,3
"1412",2020,12
"1413",2020,82
"1414",2020,6
"1415",2020,2
"1416",2020,1
"1417",2020,1
"1418",2020,4
"1419",2020,3
"1420",2020,2
"1421",2020,3
"1422",2020,2
"1423",2020,2
"1424",2020,1
"1425",2020,16
"1426",2020,8
"1427",2020,3
"1428",2020,1
"1429",2020,9
"1430",2020,8
"1431",2020,16
"1432",2020,2
"1433",2020,58
"1434",2020,48
"1435",2020,3
"1436",2020,9
"1437",2020,2
"1438",2020,1
"1439",2020,17
"1440",2020,23
"1441",2020,2
"1442",2020,2
"1443",2020,4
"1444",2020,1
"1445",2020,8
"1446",2020,2
"1447",2020,1
"1448",2020,1
"1449",2020,4
"1450",2020,1
"1451",2020,39
"1452",2020,26
"1453",2020,1
"1454",2020,1
"1455",2020,1
"1456",2020,1
"1457",2020,2
"1458",2020,3
"1459",2020,2
"1460",2020,6
"1461",2020,15
"1462",2020,12
"1463",2020,3
"1464",2020,14
"1465",2020,2
"1466",2020,10
"1467",2020,6
"1468",2020,3
"1469",2020,16
"1470",2020,69
"1471",2020,1
"1472",2020,104
"1473",2020,3
"1474",2020,6
"1475",2020,3
"1476",2020,2
"1477",2020,4
"1478",2020,5
"1479",2020,3
"1480",2020,2
"1481",2020,1
"1482",2020,7
"1483",2020,1
"1484",2020,80
"1485",2020,5
"1486",2020,10
"1487",2020,17
"1488",2020,19
"1489",2020,37
"1490",2020,25
"1491",2020,35
"1492",2020,12
"1493",2020,251
"1494",2020,3
"1495",2020,26
"1496",2020,2
"1497",2020,120
"1498",2020,2
"1499",2020,1
"1500",2020,11
"1501",2020,3
"1502",2020,5
"1503",2020,37
"1504",2020,4
"1505",2020,45
"1506",2020,15
"1507",2020,3
"1508",2020,1
"1509",2020,2
"1510",2020,1
"1511",2020,5
"1512",2020,1
"1513",2020,57
"1514",2020,1
"1515",2020,1
"1516",2020,1
"1517",2020,1
"1518",2020,2
"1519",2020,2
"1520",2020,4
"1521",2020,10
"1522",2020,8
"1523",2020,1
"1524",2020,46
"1525",2020,117
"1526",2020,13
"1527",2020,12
"1528",2020,6
"1529",2020,9
"1530",2020,19
"1531",2020,3
"1532",2020,1
"1533",2020,1
"1534",2020,1
"1535",2020,2
"1536",2020,15
"1537",2020,1
"1538",2020,7
"1539",2020,10
"1540",2020,47
"1541",2020,2
"1542",2020,1
"1543",2020,1
"1544",2020,3
"1545",2020,3
"1546",2020,1
"1547",2020,11
"1548",2020,1
"1549",2020,1
"1550",2020,2
"1551",2020,33
"1552",2020,4
"1553",2020,5
"1554",2020,3
"1555",2020,1
"1556",2020,2
"1557",2020,1
"1558",2020,8
"1559",2020,1
"1560",2020,32
"1561",2020,1
"1562",2020,5
"1563",2020,1
"1564",2020,1
"1565",2020,11
"1566",2020,1
"1567",2020,35
"1568",2020,3
"1569",2020,57
"1570",2020,1
"1571",2020,1
"1572",2020,19
"1573",2020,3
"1574",2020,11
"1575",2020,5
"1576",2020,72
"1577",2020,4
"1578",2020,2
"1579",2020,1
"1580",2020,149
"1581",2020,3
"1582",2020,14
"1583",2020,42
"1584",2020,3
"1585",2020,55
"1586",2020,3
"1587",2020,104
"1588",2020,1
"1589",2020,16
"1590",2020,12
"1591",2020,1
"1592",2020,1
"1593",2020,1
"1594",2020,1
"1595",2020,3
"1596",2020,49
"1597",2020,19
"1598",2020,1
"1599",2020,1
"1600",2020,1
"1601",2020,1
"1602",2020,1
"1603",2020,6
"1604",2020,2
"1605",2020,2
"1606",2020,2
"1607",2020,15
"1608",2020,4
"1609",2020,10
"1610",2020,24
"1611",2020,2
"1612",2020,4
"1613",2020,3
"1614",2020,1
"1615",2020,1
"1616",2020,7
"1617",2020,6
"1618",2020,235
"1619",2020,6
"1620",2020,16
"1621",2020,7
"1622",2020,4
"1623",2020,11
"1624",2020,2
"1625",2020,5
"1626",2020,1
"1627",2020,4
"1628",2020,2
"1629",2020,1
"1630",2020,5
"1631",2020,2
"1632",2020,25
"1633",2020,12
"1634",2020,13
"1635",2020,22
"1636",2020,2
"1637",2020,29
"1638",2020,94
"1639",2020,2
"1640",2020,34
"1641",2020,1
"1642",2020,43
"1643",2020,1
"1644",2020,3
"1645",2020,2
"1646",2020,18
"1647",2020,3
"1648",2020,1
"1649",2020,1
"1650",2020,2
"1651",2020,5
"1652",2020,4
"1653",2020,2
"1654",2020,10
"1655",2020,10
"1656",2020,161
"1657",2020,126
