"","Avg mph","site","Time Period Ending"
"446",27,30361338,16:59:00
"447",26,30361338,17:14:00
"448",26,30361338,17:29:00
"449",26,30361338,17:44:00
"450",28,30361338,17:59:00
"451",27,30361338,18:14:00
"452",26,30361338,18:29:00
"453",28,30361338,18:44:00
"454",29,30361338,18:59:00
"455",28,30361338,19:14:00
"456",28,30361338,19:29:00
"457",31,30361338,19:44:00
"458",28,30361338,19:59:00
"459",29,30361338,20:14:00
"460",30,30361338,20:29:00
"461",30,30361338,20:44:00
"462",30,30361338,20:59:00
"463",30,30361338,21:14:00
"464",32,30361338,21:29:00
"465",33,30361338,21:44:00
"466",34,30361338,21:59:00
"467",34,30361338,22:14:00
"468",34,30361338,22:29:00
"469",32,30361338,22:44:00
"470",30,30361338,22:59:00
"471",33,30361338,23:14:00
"472",40,30361338,23:29:00
"473",28,30361338,23:44:00
"474",35,30361338,23:59:00
"475",33,30361338,00:14:00
"476",32,30361338,00:29:00
"477",41,30361338,00:44:00
"478",41,30361338,00:59:00
"479",37,30361338,01:14:00
"480",42,30361338,01:29:00
"481",38,30361338,01:44:00
"482",27,30361338,01:59:00
"483",41,30361338,02:14:00
"484",42,30361338,02:29:00
"485",42,30361338,02:44:00
"486",31,30361338,02:59:00
"487",37,30361338,03:14:00
"488",37,30361338,03:29:00
"489",34,30361338,03:44:00
"490",45,30361338,03:59:00
"491",35,30361338,04:14:00
"492",32,30361338,04:29:00
"493",39,30361338,04:44:00
"494",37,30361338,04:59:00
"495",31,30361338,05:14:00
"496",33,30361338,05:29:00
"497",30,30361338,05:44:00
"498",32,30361338,05:59:00
"499",30,30361338,06:14:00
"500",31,30361338,06:29:00
"501",31,30361338,06:44:00
"502",32,30361338,06:59:00
"503",29,30361338,07:14:00
"504",29,30361338,07:29:00
"505",27,30361338,07:44:00
"506",21,30361338,07:59:00
"507",27,30361338,08:14:00
"508",27,30361338,08:29:00
"509",27,30361338,08:44:00
"510",26,30361338,08:59:00
"511",27,30361338,09:14:00
"512",21,30361338,09:29:00
"513",27,30361338,09:44:00
"514",28,30361338,09:59:00
"515",26,30361338,10:14:00
"516",26,30361338,10:29:00
"517",26,30361338,10:44:00
"518",26,30361338,10:59:00
"519",27,30361338,11:14:00
"520",26,30361338,11:29:00
"521",24,30361338,11:44:00
"522",27,30361338,11:59:00
"523",26,30361338,12:14:00
"524",16,30361338,12:29:00
"525",27,30361338,12:44:00
"526",25,30361338,12:59:00
"527",28,30361338,13:14:00
"528",26,30361338,13:29:00
"529",28,30361338,13:44:00
"530",28,30361338,13:59:00
"531",23,30361338,14:14:00
"532",28,30361338,14:29:00
"533",26,30361338,14:44:00
"534",25,30361338,14:59:00
"535",24,30361338,15:14:00
"536",24,30361338,15:29:00
"537",27,30361338,15:44:00
"538",25,30361338,15:59:00
"539",26,30361338,16:14:00
"540",27,30361338,16:29:00
"541",25,30361338,16:44:00
"542",27,30361338,16:59:00
"543",26,30361338,17:14:00
"544",27,30361338,17:29:00
"545",27,30361338,17:44:00
"546",28,30361338,17:59:00
"547",28,30361338,18:14:00
"548",28,30361338,18:29:00
"549",28,30361338,18:44:00
"550",29,30361338,18:59:00
"551",29,30361338,19:14:00
"552",29,30361338,19:29:00
"553",28,30361338,19:44:00
"554",30,30361338,19:59:00
"555",30,30361338,20:14:00
"556",30,30361338,20:29:00
"557",28,30361338,20:44:00
"558",30,30361338,20:59:00
"559",31,30361338,21:14:00
"560",30,30361338,21:29:00
"561",29,30361338,21:44:00
"562",33,30361338,21:59:00
"563",30,30361338,22:14:00
"564",31,30361338,22:29:00
"565",32,30361338,22:44:00
"566",31,30361338,22:59:00
"567",31,30361338,23:14:00
"568",32,30361338,23:29:00
"569",30,30361338,23:44:00
"570",32,30361338,23:59:00
"571",39,30361338,00:14:00
"572",40,30361338,00:29:00
"573",35,30361338,00:44:00
"574",36,30361338,00:59:00
"575",34,30361338,01:14:00
"576",34,30361338,01:29:00
"577",37,30361338,01:44:00
"578",33,30361338,01:59:00
"579",40,30361338,02:14:00
"580",40,30361338,02:29:00
"581",29,30361338,02:44:00
"582",34,30361338,02:59:00
"583",36,30361338,03:14:00
"584",37,30361338,03:29:00
"585",39,30361338,03:44:00
"586",40,30361338,03:59:00
"587",32,30361338,04:14:00
"588",32,30361338,04:29:00
"589",28,30361338,04:44:00
"590",37,30361338,04:59:00
"591",30,30361338,05:14:00
"592",34,30361338,05:29:00
"593",31,30361338,05:44:00
"594",34,30361338,05:59:00
"595",32,30361338,06:14:00
"596",31,30361338,06:29:00
"597",31,30361338,06:44:00
"598",30,30361338,06:59:00
"599",29,30361338,07:14:00
"600",28,30361338,07:29:00
"601",28,30361338,07:44:00
"602",24,30361338,07:59:00
"603",18,30361338,08:14:00
"604",23,30361338,08:29:00
