"","year","lat","long","mass","class"
"2040",2008,0,0,49.3,"LL6"
"2041",2008,0,0,74.4,"LL6"
"2042",2008,0,0,27.9,"LL6"
"2043",2008,0,0,77.5,"L6"
"2044",2008,0,0,30.8,"LL6"
"2045",2008,0,0,15.5,"LL6"
"2046",2008,0,0,19.2,"LL6"
"2047",2008,0,0,23.3,"LL6"
"2048",2008,0,0,20.2,"LL6"
"2049",2008,0,0,14.4,"LL6"
"2050",2008,0,0,40.7,"LL6"
"2051",2008,0,0,28.3,"L6"
"2052",2008,0,0,22.6,"LL6"
"2053",2008,0,0,13.9,"LL6"
"2054",2008,0,0,21.6,"L5"
"2055",2008,0,0,15.9,"LL5"
"2056",2008,0,0,21.1,"LL5"
"2057",2008,0,0,21.8,"L5"
"2058",2008,0,0,33.2,"LL5"
"2059",2008,0,0,24.1,"LL6"
"2060",2008,0,0,17.7,"LL6"
"2061",2008,0,0,39,"LL6"
"2062",2008,0,0,22.6,"LL6"
"2063",2008,0,0,27.1,"LL6"
"2064",2008,0,0,25.4,"L6"
"2065",2008,0,0,15.9,"LL6"
"2066",2008,0,0,12.6,"LL6"
"2067",2008,0,0,8.2,"H6"
"2068",2008,0,0,9.3,"LL5"
"2069",2008,0,0,9.4,"LL5"
"2070",2008,0,0,14.6,"LL6"
"2071",2008,0,0,13,"L6"
"2072",2008,0,0,13.4,"LL6"
"2073",2008,0,0,18.3,"L6"
"2074",2008,0,0,21.9,"LL6"
"2075",2008,0,0,9.6,"L5"
"2076",2008,0,0,41.2,"LL6"
"2077",2008,0,0,16.6,"LL6"
"2078",2008,0,0,21.3,"LL6"
"2079",2008,0,0,31.6,"L6"
"2080",2008,0,0,21.7,"LL6"
"2081",2008,0,0,21.2,"LL6"
"2082",2008,0,0,20.4,"L6"
"2083",2008,0,0,18.1,"LL6"
"2084",2008,0,0,11.2,"LL6"
"2085",2008,0,0,29.6,"LL6"
"2086",2008,0,0,23.3,"LL6"
"2087",2008,0,0,20.4,"LL6"
"2088",2008,0,0,18.9,"LL6"
"2089",2008,0,0,37.5,"LL5"
"2090",2008,0,0,25.8,"LL6"
"2091",2008,0,0,27.6,"H6"
"2092",2008,0,0,31.3,"LL6"
"2093",2008,0,0,29.9,"LL6"
"2094",2008,0,0,24.2,"H5"
"2095",2008,0,0,37.4,"LL6"
"2096",2008,0,0,20.6,"LL6"
"2097",2008,0,0,25.1,"H6"
"2098",2008,0,0,43.2,"LL6"
"2099",2008,0,0,45.4,"LL6"
"2100",2008,0,0,42.2,"LL6"
"2101",2008,0,0,42.3,"LL6"
"2102",2008,0,0,61.7,"LL6"
"2103",2008,0,0,32.9,"LL6"
"2104",2008,0,0,72.2,"LL5"
"2105",2008,0,0,22.9,"L6"
"2106",2008,0,0,20,"LL6"
"2107",2008,0,0,28.8,"LL6"
"2108",2008,0,0,37.9,"LL6"
"2109",2008,0,0,25.5,"LL6"
"2110",2008,0,0,29.3,"LL6"
"2111",2008,0,0,78.5,"LL5"
"2112",2008,0,0,19.8,"L5"
"2113",2008,0,0,48.4,"LL6"
"2114",2008,0,0,64.2,"LL6"
"2115",2008,0,0,9,"LL6"
"2116",2008,0,0,22.6,"L6"
"2117",2008,0,0,15,"LL6"
"2118",2008,0,0,12.4,"L5"
"2119",2008,0,0,8.4,"L5"
"2120",2008,0,0,6.2,"L6"
"2121",2008,0,0,30.1,"LL6"
"2122",2008,0,0,19.8,"LL6"
"2123",2008,0,0,30,"LL6"
